Video 1,Tempos 1,Video 2,Tempos 2,Video 3,Tempos 3,Video 4,Tempos 4,Video 5,Tempos 5,Video 6,Tempos 6,Video 7,Tempos 7,Video 8,Tempos 8
0.029,00:01.46,0.036,00:01.47,0.054,00:01.39,0.095,00:01.40,0.028,00:01.53,0.036,00:01.34,0.052,00:01.40,0.097,00:01.46
0.062,00:01.65,0.076,00:01.54,0.113,00:01.54,0.194,00:01.56,0.059,00:01.51,0.077,00:01.57,0.108,00:01.46,0.201,00:01.65
0.099,00:01.51,0.119,00:01.62,0.178,00:01.49,0.3,00:01.55,0.095,00:01.61,0.121,00:01.53,0.17,00:01.60,0.311,00:01.43
0.139,00:01.69,0.167,00:01.63,0.246,00:01.63,0.41,00:01.64,0.133,00:01.51,0.169,00:01.66,0.236,00:01.74,0.426,00:01.64
0.184,00:01.50,0.219,00:01.51,0.32,00:01.36,0.528,00:01.70,0.176,00:01.47,0.222,00:01.48,0.307,00:01.50,0.549,00:01.46
0.233,00:01.61,0.276,00:01.57,0.398,00:01.69,0.653,00:01.51,0.222,00:01.81,0.28,00:01.60,0.382,00:01.60,0.677,00:01.60
0.286,00:01.56,0.337,00:01.59,0.482,00:01.70,0.783,00:01.65,0.274,00:01.65,0.341,00:01.54,0.464,00:01.53,0.811,00:01.38
0.344,00:01.62,0.403,00:01.55,0.571,00:01.57,0.92,00:01.55,0.329,00:01.55,0.408,00:01.69,0.551,00:01.56,0.952,00:01.76
0.406,00:01.47,0.475,00:01.56,0.666,00:01.63,1.066,00:01.59,0.39,00:01.50,0.48,00:01.52,0.644,00:01.65,1.101,00:01.59
0.472,00:01.63,0.551,00:01.58,0.766,00:01.55,1.216,00:01.46,0.454,00:01.42,0.557,00:01.54,0.742,00:01.60,1.257,00:01.48
0.544,00:01.57,0.633,00:01.57,0.873,00:01.50,1.376,00:01.70,0.525,00:01.60,0.639,00:01.50,0.846,00:01.59,1.421,00:01.90
0.62,00:01.53,0.719,00:01.48,0.984,00:01.44,1.543,00:01.45,0.599,00:01.57,0.727,00:01.51,0.958,00:01.60,1.591,00:01.48
0.701,00:01.74,0.811,00:01.69,1.102,00:01.65,1.721,00:01.47,0.68,00:01.47,0.82,00:01.70,1.075,00:01.52,1.771,00:01.50
0.88,00:01.61,0.909,00:01.62,1.225,00:01.62,1.904,00:01.74,0.765,00:01.61,0.92,00:01.61,1.201,00:01.57,1.959,00:01.61
0.977,00:01.45,1.012,00:01.42,1.356,00:01.60,2.099,00:01.62,0.856,00:01.73,1.026,00:01.61,1.333,00:01.49,2.157,00:01.54
1.08,00:01.57,1.121,00:01.65,1.492,00:01.69,2.299,00:01.44,0.953,00:01.62,1.139,00:01.51,1.471,00:01.58,2.362,00:01.58
1.19,00:01.63,1.237,00:01.57,1.636,00:01.41,2.514,00:01.41,1.057,00:01.53,1.258,00:01.60,1.619,00:01.64,2.582,00:01.56
1.305,00:01.51,1.358,00:01.71,1.785,00:01.68,2.736,00:01.82,1.166,00:01.40,1.383,00:01.47,1.773,00:01.55,2.809,00:01.65
1.426,00:01.50,1.484,00:01.71,1.943,00:01.46,2.972,00:01.56,1.283,00:01.71,1.517,00:01.70,1.935,00:01.61,3.05,00:01.46
1.553,00:01.68,1.616,00:01.62,2.107,00:01.67,3.216,00:01.69,1.406,00:01.40,1.657,00:01.61,2.107,00:01.56,3.3,00:01.68
1.687,00:01.62,1.754,00:01.42,2.277,00:01.62,3.478,00:01.51,1.536,00:01.75,1.804,00:01.71,2.288,00:01.46,3.561,00:01.57
1.828,00:01.69,1.899,00:01.57,2.455,00:01.57,3.749,00:01.73,1.672,00:01.46,1.959,00:01.63,2.475,00:01.71,3.831,00:01.58
1.976,00:01.52,2.051,00:01.53,2.642,00:01.51,4.033,00:01.54,1.815,00:01.56,2.122,00:01.54,2.673,00:01.67,4.115,00:01.56
2.131,00:01.53,2.209,00:01.64,2.837,00:01.70,4.326,00:01.65,1.963,00:01.30,2.294,00:01.51,2.878,00:01.66,4.407,00:01.49
2.293,00:01.62,2.376,00:01.62,3.04,00:01.47,4.633,00:01.57,2.121,00:01.55,2.478,00:01.35,3.094,00:01.24,4.712,00:01.61
2.462,00:01.45,2.55,00:01.52,3.251,00:01.62,4.95,00:01.43,2.286,00:01.68,2.67,00:01.67,3.318,00:01.77,5.026,00:01.64
2.638,00:01.61,2.732,00:01.52,3.469,00:01.56,5.285,00:01.65,2.46,00:01.89,2.872,00:01.71,3.55,00:01.51,5.357,00:01.64
2.824,00:01.66,2.921,00:01.48,3.696,00:01.68,5.629,00:01.50,2.641,00:01.66,3.083,00:01.54,3.792,00:01.63,5.697,00:01.48
3.017,00:01.38,3.12,00:01.55,3.936,00:01.43,5.994,00:01.44,2.832,00:01.55,3.306,00:01.60,4.047,00:01.49,6.053,00:01.90
3.219,00:01.69,3.325,00:01.76,4.183,00:01.52,6.373,00:01.59,3.03,00:01.59,3.539,00:01.50,4.307,00:01.68,6.417,00:01.18
3.43,00:01.64,3.541,00:01.39,4.441,00:01.65,6.765,00:01.66,3.238,00:01.63,3.784,00:01.56,4.581,00:01.38,6.798,00:01.53
3.648,00:01.50,3.765,00:01.79,4.707,00:01.88,7.166,00:01.55,3.454,00:01.57,4.038,00:01.55,4.864,00:01.71,7.191,00:01.60
3.875,00:01.62,3.999,00:01.41,4.983,00:01.22,7.588,00:01.60,3.68,00:01.40,4.303,00:01.72,5.16,00:01.72,7.604,00:01.92
4.111,00:01.66,4.241,00:01.72,5.27,00:01.73,8.022,00:01.53,3.914,00:01.56,4.577,00:01.44,5.463,00:01.56,8.031,00:01.34
4.357,00:01.59,4.496,00:01.53,5.571,00:01.80,8.481,00:01.55,4.159,00:01.59,4.865,00:01.53,5.785,00:01.35,8.479,00:01.59
4.613,00:01.57,4.759,00:01.54,5.885,00:01.40,8.946,00:01.65,4.41,00:01.70,5.163,00:01.55,6.115,00:01.70,8.941,00:01.64
4.88,00:01.60,5.034,00:01.61,6.207,00:01.63,9.435,00:01.73,4.676,00:01.50,5.472,00:01.16,6.456,00:01.50,9.424,00:01.70
5.157,00:01.43,5.318,00:01.62,6.537,00:01.63,9.941,00:01.48,4.952,00:01.54,5.797,00:02.06,6.806,00:01.65,9.917,00:01.49
5.443,00:01.37,5.614,00:01.40,6.879,00:01.55,10.477,00:01.59,5.238,00:01.55,6.132,00:01.69,7.172,00:01.65,10.441,00:01.36
5.741,00:01.55,5.92,00:01.65,7.228,00:01.59,11.023,00:01.63,5.537,00:01.66,6.473,00:01.62,7.627,00:01.59,10.979,00:01.65
6.049,00:01.56,6.238,00:01.71,7.592,00:01.51,11.624,00:01.40,5.849,00:01.45,6.834,00:01.67,8.127,00:01.67,11.543,00:01.58
6.37,00:01.81,6.566,00:01.60,7.969,00:01.73,12.245,00:01.96,6.168,00:01.76,7.203,00:01.53,8.637,00:01.41,12.117,00:01.61
6.701,00:01.76,6.908,00:01.56,8.364,00:01.49,12.883,00:01.16,6.508,00:01.49,7.588,00:01.69,9.166,00:01.58,12.718,00:01.64
7.046,00:01.73,7.26,00:01.53,8.77,00:01.64,13.542,00:01.77,6.856,00:01.49,7.985,00:01.64,9.701,00:01.90,13.343,00:01.48
7.402,00:01.55,7.627,00:01.65,9.196,00:01.56,,,7.224,00:01.71,8.4,00:01.45,10.274,00:01.63,13.996,00:01.45
7.771,00:01.56,8.004,00:01.63,9.632,00:01.72,,,7.598,00:01.63,8.829,00:01.54,10.859,00:01.63,,
8.149,00:01.56,8.399,00:01.32,10.085,00:01.32,,,7.995,00:01.43,9.274,00:01.43,11.469,00:01.40,,
8.543,00:01.57,8.807,00:01.69,10.549,00:01.57,,,8.404,00:01.69,9.734,00:01.58,12.08,00:01.78,,
8.948,00:01.51,9.233,00:01.62,11.037,00:01.70,,,8.837,00:01.45,10.224,00:01.53,12.725,00:01.48,,
9.373,00:01.64,9.669,00:01.58,11.54,00:01.71,,,9.279,00:01.65,10.726,00:01.76,,,,
9.811,00:01.47,10.128,00:01.59,12.071,00:01.48,,,9.754,00:01.39,11.25,00:01.60,,,,
10.27,00:01.73,10.599,00:01.52,12.614,00:01.60,,,10.238,00:01.46,11.786,00:01.71,,,,
10.741,00:01.46,11.092,00:01.51,13.185,00:01.49,,,10.751,00:01.65,12.348,00:01.41,,,,
11.233,00:01.73,11.596,00:01.54,13.772,00:01.64,,,11.277,00:01.85,12.926,00:01.70,,,,
11.74,00:01.54,12.125,00:01.66,14.382,00:01.54,,,11.84,00:01.85,13.536,00:01.53,,,,
12.271,00:01.53,12.666,00:01.72,,,,,12.422,00:01.52,14.161,00:01.64,,,,
12.814,00:01.51,13.231,00:01.60,,,,,13.059,00:01.78,14.821,00:01.47,,,,
13.378,00:01.44,13.808,00:01.61,,,,,13.709,00:01.75,,,,,,
13.957,00:01.71,14.418,00:01.54,,,,,,,,,,,,
14.568,00:01.82,,,,,,,,,,,,,,
15.198,00:01.69,,,,,,,,,,,,,,
